Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
157.240.15.60-192.168.0.9-443-51320-6,192.168.0.9,51320,157.240.15.60,443,6,26-05-2021 20:32,117178993,64,80,3614,17762,565,0,56.46875,97.47445229,1360,0,222.025,406.1757422,182.4217759,1.228889209,819433.5175,2469181.939,1.77E+07,0,1.17E+08,1854373.175,3476799.604,1.77E+07,825,1.17E+08,1483278.392,3238985.678,1.82E+07,0,0,1,0,0,1280,1600,0.546172982,0.682716227,0,1360,147.6344828,318.6357162,101528.7196,0,0,0,1,1,0,0,0,1,148.6597222,56.46875,222.025,0,0,0,0,0,0,64,3614,80,17762,-1,710,23,0,6821662.667,5567588.711,1.55E+07,298440,1.14E+07,3876600.085,1.77E+07,7883794,No Label
192.168.0.9-239.255.255.250-0-0-0,192.168.0.9,0,239.255.255.250,0,0,26-05-2021 20:31,117997215,2,1,0,0,0,0,0,0,0,0,0,0,0,0.025424329,5.90E+07,4245609.828,6.20E+07,5.60E+07,5.60E+07,5.60E+07,0,5.60E+07,5.60E+07,0,0,0,0,0,0,0,0,0,0,0,0.016949553,0.008474776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,5.90E+07,4245609.828,6.20E+07,5.60E+07,No Label
192.168.0.9-224.0.0.251-0-0-0,192.168.0.9,0,224.0.0.251,0,0,26-05-2021 20:31,119997007,2,1,0,0,0,0,0,0,0,0,0,0,0,0.025000624,6.00E+07,4238695.738,6.30E+07,5.70E+07,5.70E+07,5.70E+07,0,5.70E+07,5.70E+07,0,0,0,0,0,0,0,0,0,0,0,0.016667082,0.008333541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,6.00E+07,4238695.738,6.30E+07,5.70E+07,No Label
142.251.10.189-192.168.0.9-443-51310-6,192.168.0.9,51310,142.251.10.189,443,6,26-05-2021 20:32,104435749,3,5,2,74,1,0,0.666666667,0.577350269,73,0,14.8,32.53767048,0.72772016,0.076602122,1.49E+07,2.12E+07,4.50E+07,394,5.94E+07,2.97E+07,2.17E+07,4.51E+07,1.43E+07,1.04E+08,2.61E+07,2.26E+07,4.51E+07,47808,0,0,0,0,60,136,0.028725796,0.047876326,0,73,8.555555556,24.17183853,584.2777778,0,0,0,0,1,0,0,0,1,9.625,0.666666667,14.8,0,0,0,0,0,0,3,2,5,74,-1,293,2,0,48289,759.8559074,49165,47808,3.48E+07,1.77E+07,4.50E+07,1.43E+07,No Label
142.251.10.189-192.168.0.9-443-56105-17,192.168.0.9,56105,142.251.10.189,443,17,26-05-2021 20:32,119959309,51,53,1683,1418,33,33,33,0,45,25,26.75471698,5.416874135,25.85043233,0.866960646,1164653.485,2878107.715,1.28E+07,12893,1.09E+08,2181646.46,3630721.175,1.29E+07,168888,1.20E+08,2306909.788,3757799.039,1.29E+07,50985,0,0,0,0,408,424,0.425144163,0.441816483,25,45,29.84761905,4.951264315,24.51501832,0,0,0,0,0,0,0,0,1,30.13461538,33,26.75471698,0,0,0,0,0,0,51,1683,53,1418,-1,-1,51,0,3619734.778,4219354.688,8190834,50985,9702346.556,3188643.254,1.28E+07,6404133,No Label
192.168.0.9-13.35.238.22-51349-443-6,192.168.0.9,51349,13.35.238.22,443,6,26-05-2021 20:32,104978640,4,6,2,64,1,0,0.5,0.577350269,39,0,10.66666667,16.82458519,0.628699324,0.095257473,1.17E+07,1.95E+07,4.50E+07,1,6.00E+07,2.00E+07,2.29E+07,4.50E+07,170,1.05E+08,2.10E+07,2.28E+07,4.50E+07,1,0,0,0,0,80,156,0.038102989,0.057154484,0,39,6.090909091,13.011184,169.2909091,0,0,0,0,1,0,0,0,1,6.7,0.5,10.66666667,0,0,0,0,0,0,4,2,6,64,-1,7,2,0,4002.666667,1703.056762,5969,2996,3.50E+07,1.73E+07,4.50E+07,1.50E+07,No Label
157.240.15.60-192.168.0.9-443-51320-6,192.168.0.9,51320,157.240.15.60,443,6,26-05-2021 20:34,55749992,7,10,368,554,213,0,52.57142857,84.59286247,154,0,55.4,66.97462206,16.53811897,0.304932779,3484374.5,9317007.442,3.70E+07,1,5.55E+07,9245560.667,1.41E+07,3.70E+07,307377,5.57E+07,6194443.556,1.20E+07,3.70E+07,1,0,1,0,0,140,200,0.125560556,0.179372223,0,213,58.27777778,72.08639062,5196.447712,0,0,0,1,1,0,0,0,1,61.70588235,52.57142857,55.4,0,0,0,0,0,0,7,368,10,554,-1,721,3,0,996880,1645582.122,2897025,41587,1.75E+07,1.70E+07,3.70E+07,6061125,No Label
157.240.15.60-192.168.0.9-443-51320-6,192.168.0.9,51320,157.240.15.60,443,6,26-05-2021 20:35,250,1,1,0,0,0,0,0,0,0,0,0,0,0,8000,250,0,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4000,4000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,511,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-239.255.255.250-1900-1900-17,192.168.0.1,1900,239.255.255.250,1900,17,26-05-2021 20:33,101867413,127,1,39207,265,345,261,308.7165354,30.85730024,265,265,265,0,387.4840721,1.256535297,802105.6142,4580996.281,2.99E+07,0,1.02E+08,808467.7778,4598720.412,2.99E+07,0,0,0,0,0,0,0,0,0,0,1016,8,1.246718615,0.009816682,261,345,308.0387597,31.09169983,966.6937984,0,0,0,0,0,0,0,0,0,310.4453125,308.7165354,265,0,0,0,0,0,0,127,39207,1,265,-1,-1,127,0,3006009.667,1791.106455,3007990,3004503,2.99E+07,1752.365924,2.99E+07,2.99E+07,No Label
192.168.0.1-224.0.0.1-0-0-0,192.168.0.1,0,224.0.0.1,0,0,26-05-2021 20:32,119823876,2,1,0,0,0,0,0,0,0,0,0,0,0,0.025036746,5.99E+07,1808.779146,5.99E+07,5.99E+07,5.99E+07,5.99E+07,0,5.99E+07,5.99E+07,0,0,0,0,0,0,0,0,0,0,0,0.016691164,0.008345582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,5.99E+07,1808.779146,5.99E+07,5.99E+07,No Label
